Region	Distance_to_Start	Sum_of_base_coverage	Count	Average_Read_Depth
3UTR	1598	3067218	61880	49.5672
3UTR	1599	3067050	61880	49.5645
3UTR	1600	3066938	61880	49.5627
3UTR	1601	3066871	61880	49.5616
3UTR	1602	3067905	61880	49.5783
3UTR	1603	3058975	61710	49.5702
3UTR	1604	3060056	61710	49.5877
3UTR	1605	3060317	61710	49.5919
3UTR	1606	3061460	61710	49.6104
3UTR	1607	3060921	61710	49.6017
3UTR	1608	3060397	61710	49.5932
3UTR	1609	3059624	61710	49.5807
3UTR	1610	3060544	61710	49.5956
3UTR	1611	3055369	61540	49.6485
3UTR	1612	3055284	61540	49.6471
3UTR	1613	3054769	61540	49.6388
3UTR	1614	3053949	61540	49.6254
3UTR	1615	3055550	61540	49.6514
3UTR	1616	3054662	61540	49.637
3UTR	1617	3052740	61540	49.6058
3UTR	1618	3053124	61540	49.612
3UTR	1619	3052541	61540	49.6026
3UTR	1620	3053476	61540	49.6177
3UTR	1621	3052665	61540	49.6046
3UTR	1622	3052346	61540	49.5994
3UTR	1623	3053230	61540	49.6137
3UTR	1624	3044450	61370	49.6081
3UTR	1625	3044524	61370	49.6093
3UTR	1626	3045417	61370	49.6239
3UTR	1627	3045179	61370	49.62
3UTR	1628	3035163	61200	49.5942
3UTR	1629	3035418	61200	49.5983
3UTR	1630	3034339	61200	49.5807
3UTR	1631	3034765	61200	49.5877
3UTR	1632	3035646	61200	49.6021
3UTR	1633	3035269	61200	49.5959
3UTR	1634	3035702	61200	49.603
3UTR	1635	3035664	61200	49.6024
3UTR	1636	3035602	61200	49.6013
3UTR	1637	3034115	61200	49.577
3UTR	1638	3021508	61030	49.5086
3UTR	1639	3022161	61030	49.5193
3UTR	1640	3021535	61030	49.509
3UTR	1641	3020392	61030	49.4903
3UTR	1642	3018736	61030	49.4631
3UTR	1643	3017803	61030	49.4479
3UTR	1644	3015636	61030	49.4124
3UTR	1645	3015152	61030	49.4044
3UTR	1646	3014583	61030	49.3951
3UTR	1647	3003838	60860	49.3565
3UTR	1648	3002689	60860	49.3376
3UTR	1649	3001380	60860	49.3161
3UTR	1650	3000411	60860	49.3002
3UTR	1651	2999410	60860	49.2838
3UTR	1652	2998646	60860	49.2712
3UTR	1653	2988924	60690	49.249
3UTR	1654	2985951	60690	49.2
3UTR	1655	2986910	60690	49.2159
3UTR	1656	2969105	60350	49.1981
3UTR	1657	2968428	60350	49.1869
3UTR	1658	2967561	60350	49.1725
3UTR	1659	2967369	60350	49.1693
3UTR	1660	2967950	60350	49.179
3UTR	1661	2969281	60350	49.201
3UTR	1662	2970053	60350	49.2138
3UTR	1663	2971103	60350	49.2312
3UTR	1664	2970275	60350	49.2175
3UTR	1665	2970892	60350	49.2277
3UTR	1666	2970302	60350	49.2179
3UTR	1667	2968763	60350	49.1924
3UTR	1668	2956789	60180	49.1324
3UTR	1669	2955908	60180	49.1178
3UTR	1670	2956871	60180	49.1338
3UTR	1671	2957076	60180	49.1372
3UTR	1672	2957521	60180	49.1446
3UTR	1673	2957527	60180	49.1447
3UTR	1674	2957194	60180	49.1391
3UTR	1675	2956473	60180	49.1272
3UTR	1676	2955456	60180	49.1103
3UTR	1677	2955506	60180	49.1111
3UTR	1678	2954690	60180	49.0975
3UTR	1679	2953687	60180	49.0809
3UTR	1680	2953469	60180	49.0773
3UTR	1681	2953903	60180	49.0845
3UTR	1682	2952279	60180	49.0575
3UTR	1683	2941840	60010	49.0225
3UTR	1684	2941639	60010	49.0191
3UTR	1685	2941703	60010	49.0202
3UTR	1686	2941859	60010	49.0228
3UTR	1687	2931970	59840	48.9968
3UTR	1688	2932813	59840	49.0109
3UTR	1689	2933035	59840	49.0146
3UTR	1690	2932995	59840	49.014
3UTR	1691	2931855	59840	48.9949
3UTR	1692	2931695	59840	48.9922
3UTR	1693	2921215	59670	48.9562
3UTR	1694	2921272	59670	48.9571
3UTR	1695	2920838	59670	48.9499
3UTR	1696	2920491	59670	48.944
3UTR	1697	2921880	59670	48.9673
3UTR	1698	2921965	59670	48.9687
3UTR	1699	2922361	59670	48.9754
3UTR	1700	2922314	59670	48.9746
3UTR	1701	2921315	59670	48.9579
3UTR	1702	2919403	59670	48.9258
3UTR	1703	2909896	59500	48.9058
3UTR	1704	2910202	59500	48.911
3UTR	1705	2911066	59500	48.9255
3UTR	1706	2901719	59330	48.9081
3UTR	1707	2902605	59330	48.9231
3UTR	1708	2903338	59330	48.9354
3UTR	1709	2903932	59330	48.9454
3UTR	1710	2904387	59330	48.9531
3UTR	1711	2903669	59330	48.941
3UTR	1712	2893564	59160	48.9108
3UTR	1713	2892321	59160	48.8898
3UTR	1714	2891576	59160	48.8772
3UTR	1715	2891117	59160	48.8695
3UTR	1716	2891820	59160	48.8813
3UTR	1717	2892944	59160	48.9003
3UTR	1718	2892821	59160	48.8983
3UTR	1719	2892800	59160	48.8979
3UTR	1720	2891593	59160	48.8775
3UTR	1721	2891521	59160	48.8763
3UTR	1722	2882329	58990	48.8613
3UTR	1723	2883476	58990	48.8808
3UTR	1724	2884174	58990	48.8926
3UTR	1725	2883225	58990	48.8765
3UTR	1726	2875106	58820	48.8797
3UTR	1727	2875079	58820	48.8793
3UTR	1728	2874655	58820	48.8721
3UTR	1729	2874108	58820	48.8628
3UTR	1730	2873876	58820	48.8588
3UTR	1731	2872259	58820	48.8313
3UTR	1732	2871581	58820	48.8198
3UTR	1733	2871179	58820	48.813
3UTR	1734	2871909	58820	48.8254
3UTR	1735	2872516	58820	48.8357
3UTR	1736	2863184	58650	48.8181
3UTR	1737	2863529	58650	48.824
3UTR	1738	2865340	58650	48.8549
3UTR	1739	2858512	58480	48.8802
3UTR	1740	2860313	58480	48.911
3UTR	1741	2861226	58480	48.9266
3UTR	1742	2861826	58480	48.9368
3UTR	1743	2862740	58480	48.9525
3UTR	1744	2863470	58480	48.9649
3UTR	1745	2863112	58480	48.9588
3UTR	1746	2862097	58480	48.9415
3UTR	1747	2854627	58310	48.956
3UTR	1748	2854914	58310	48.961
3UTR	1749	2855669	58310	48.9739
3UTR	1750	2855636	58310	48.9733
3UTR	1751	2856161	58310	48.9824
3UTR	1752	2856859	58310	48.9943
3UTR	1753	2855563	58310	48.9721
3UTR	1754	2855659	58310	48.9737
3UTR	1755	2855396	58310	48.9692
3UTR	1756	2856422	58310	48.9868
3UTR	1757	2856603	58310	48.9899
3UTR	1758	2858353	58310	49.0199
3UTR	1759	2858261	58310	49.0184
3UTR	1760	2850376	58140	49.0261
3UTR	1761	2841270	57970	49.0128
3UTR	1762	2841116	57970	49.0101
3UTR	1763	2841091	57970	49.0097
3UTR	1764	2841517	57970	49.017
3UTR	1765	2840095	57970	48.9925
3UTR	1766	2840884	57970	49.0061
3UTR	1767	2842632	57970	49.0363
3UTR	1768	2844444	57970	49.0675
3UTR	1769	2845757	57970	49.0902
3UTR	1770	2835578	57800	49.0584
3UTR	1771	2836426	57800	49.0731
3UTR	1772	2835881	57800	49.0637
3UTR	1773	2837005	57800	49.0831
3UTR	1774	2837151	57800	49.0857
3UTR	1775	2836384	57800	49.0724
3UTR	1776	2837239	57800	49.0872
3UTR	1777	2837399	57800	49.0899
3UTR	1778	2837316	57800	49.0885
3UTR	1779	2837924	57800	49.099
3UTR	1780	2839173	57800	49.1206
3UTR	1781	2839807	57800	49.1316
3UTR	1782	2840746	57800	49.1479
3UTR	1783	2840875	57800	49.1501
3UTR	1784	2840536	57800	49.1442
3UTR	1785	2840478	57800	49.1432
3UTR	1786	2840448	57800	49.1427
3UTR	1787	2841948	57800	49.1687
3UTR	1788	2841267	57800	49.1569
3UTR	1789	2838488	57630	49.2537
3UTR	1790	2840132	57630	49.2822
3UTR	1791	2840214	57630	49.2836
3UTR	1792	2840708	57630	49.2922
3UTR	1793	2840650	57630	49.2912
3UTR	1794	2831249	57460	49.2734
3UTR	1795	2830100	57460	49.2534
3UTR	1796	2830035	57460	49.2523
3UTR	1797	2828940	57460	49.2332
3UTR	1798	2829859	57460	49.2492
3UTR	1799	2829378	57460	49.2408
3UTR	1800	2829162	57460	49.2371
3UTR	1801	2821500	57290	49.2494
3UTR	1802	2821029	57290	49.2412
3UTR	1803	2820614	57290	49.234
3UTR	1804	2811268	57120	49.2169
3UTR	1805	2809790	57120	49.191
3UTR	1806	2810182	57120	49.1979
3UTR	1807	2809922	57120	49.1933
3UTR	1808	2809942	57120	49.1937
3UTR	1809	2808303	57120	49.165
3UTR	1810	2799633	56950	49.1595
3UTR	1811	2799911	56950	49.1644
3UTR	1812	2800426	56950	49.1734
3UTR	1813	2801534	56950	49.1929
3UTR	1814	2792856	56780	49.1873
3UTR	1815	2793273	56780	49.1947
3UTR	1816	2792753	56780	49.1855
3UTR	1817	2792486	56780	49.1808
3UTR	1818	2785533	56610	49.2057
3UTR	1819	2786684	56610	49.226
3UTR	1820	2778408	56440	49.2276
3UTR	1821	2777522	56440	49.2119
3UTR	1822	2776874	56440	49.2005
3UTR	1823	2776921	56440	49.2013
3UTR	1824	2775601	56440	49.1779
3UTR	1825	2776294	56440	49.1902
3UTR	1826	2775109	56440	49.1692
3UTR	1827	2773851	56440	49.1469
3UTR	1828	2766703	56270	49.1683
3UTR	1829	2765987	56270	49.1556
3UTR	1830	2766376	56270	49.1625
3UTR	1831	2758109	56100	49.1642
3UTR	1832	2756084	56100	49.1281
3UTR	1833	2755364	56100	49.1152
3UTR	1834	2756325	56100	49.1324
3UTR	1835	2755341	56100	49.1148
3UTR	1836	2754686	56100	49.1031
3UTR	1837	2743567	55930	49.0536
3UTR	1838	2742710	55930	49.0383
3UTR	1839	2741851	55930	49.0229
3UTR	1840	2742021	55930	49.0259
3UTR	1841	2741325	55930	49.0135
3UTR	1842	2742326	55930	49.0314
3UTR	1843	2743465	55930	49.0518
3UTR	1844	2742596	55930	49.0362
3UTR	1845	2742959	55930	49.0427
3UTR	1846	2741909	55930	49.0239
3UTR	1847	2740786	55930	49.0039
3UTR	1848	2741083	55930	49.0092
3UTR	1849	2740258	55930	48.9944
3UTR	1850	2741163	55930	49.0106
3UTR	1851	2741064	55930	49.0088
3UTR	1852	2741265	55930	49.0124
3UTR	1853	2742242	55930	49.0299
3UTR	1854	2742688	55930	49.0379
3UTR	1855	2742392	55930	49.0326
3UTR	1856	2741019	55930	49.008
3UTR	1857	2741360	55930	49.0141
3UTR	1858	2740989	55930	49.0075
3UTR	1859	2741502	55930	49.0167
3UTR	1860	2741752	55930	49.0211
3UTR	1861	2743180	55930	49.0467
3UTR	1862	2743111	55930	49.0454
3UTR	1863	2743408	55930	49.0507
3UTR	1864	2735368	55760	49.0561
3UTR	1865	2725755	55590	49.0332
3UTR	1866	2725687	55590	49.032
3UTR	1867	2725032	55590	49.0202
3UTR	1868	2724354	55590	49.008
3UTR	1869	2723790	55590	48.9978
3UTR	1870	2714739	55420	48.9848
3UTR	1871	2714708	55420	48.9843
3UTR	1872	2714511	55420	48.9807
3UTR	1873	2714634	55420	48.9829
3UTR	1874	2714779	55420	48.9855
3UTR	1875	2715325	55420	48.9954
3UTR	1876	2716137	55420	49.0101
3UTR	1877	2715905	55420	49.0059
3UTR	1878	2717582	55420	49.0361
3UTR	1879	2718592	55420	49.0543
3UTR	1880	2719267	55420	49.0665
3UTR	1881	2719007	55420	49.0618
3UTR	1882	2719271	55420	49.0666
3UTR	1883	2719419	55420	49.0693
3UTR	1884	2720488	55420	49.0886
3UTR	1885	2722291	55420	49.1211
3UTR	1886	2722506	55420	49.125
3UTR	1887	2721522	55420	49.1072
3UTR	1888	2721147	55420	49.1005
3UTR	1889	2720335	55420	49.0858
3UTR	1890	2719983	55420	49.0794
3UTR	1891	2721176	55420	49.101
3UTR	1892	2721012	55420	49.098
3UTR	1893	2720697	55420	49.0923
3UTR	1894	2721075	55420	49.0992
3UTR	1895	2721270	55420	49.1027
3UTR	1896	2719559	55420	49.0718
3UTR	1897	2719565	55420	49.0719
3UTR	1898	2719674	55420	49.0739
3UTR	1899	2719885	55420	49.0777
3UTR	1900	2712802	55250	49.1005
3UTR	1901	2711672	55250	49.08
3UTR	1902	2703066	55080	49.0753
3UTR	1903	2702493	55080	49.0649
3UTR	1904	2703353	55080	49.0805
3UTR	1905	2703305	55080	49.0796
3UTR	1906	2702527	55080	49.0655
3UTR	1907	2703022	55080	49.0745
3UTR	1908	2693158	54910	49.0468
3UTR	1909	2692765	54910	49.0396
3UTR	1910	2691848	54910	49.0229
3UTR	1911	2691116	54910	49.0096
3UTR	1912	2690140	54910	48.9918
3UTR	1913	2689783	54910	48.9853
3UTR	1914	2690231	54910	48.9935
3UTR	1915	2690049	54910	48.9901
3UTR	1916	2691473	54910	49.0161
3UTR	1917	2691552	54910	49.0175
3UTR	1918	2691214	54910	49.0114
3UTR	1919	2690162	54910	48.9922
3UTR	1920	2690010	54910	48.9894
3UTR	1921	2690685	54910	49.0017
3UTR	1922	2690676	54910	49.0016
3UTR	1923	2689831	54910	48.9862
3UTR	1924	2690305	54910	48.9948
3UTR	1925	2683666	54740	49.0257
3UTR	1926	2683204	54740	49.0172
3UTR	1927	2683566	54740	49.0239
3UTR	1928	2673460	54570	48.9914
3UTR	1929	2673279	54570	48.9881
3UTR	1930	2671651	54570	48.9582
3UTR	1931	2671905	54570	48.9629
3UTR	1932	2672876	54570	48.9807
3UTR	1933	2672391	54570	48.9718
3UTR	1934	2672247	54570	48.9692
3UTR	1935	2672944	54570	48.9819
3UTR	1936	2672744	54570	48.9783
3UTR	1937	2673552	54570	48.9931
3UTR	1938	2673683	54570	48.9955
3UTR	1939	2673543	54570	48.9929
3UTR	1940	2672761	54570	48.9786
3UTR	1941	2671885	54570	48.9625
3UTR	1942	2670280	54570	48.9331
3UTR	1943	2669288	54570	48.9149
3UTR	1944	2669675	54570	48.922
3UTR	1945	2669054	54570	48.9106
3UTR	1946	2669168	54570	48.9127
3UTR	1947	2668608	54570	48.9025
3UTR	1948	2659946	54400	48.8961
3UTR	1949	2651373	54230	48.8913
3UTR	1950	2642759	54060	48.8857
3UTR	1951	2643418	54060	48.8979
3UTR	1952	2644246	54060	48.9132
3UTR	1953	2643541	54060	48.9001
3UTR	1954	2643225	54060	48.8943
3UTR	1955	2643071	54060	48.8914
3UTR	1956	2634973	53890	48.8954
3UTR	1957	2635176	53890	48.8992
3UTR	1958	2635812	53890	48.911
3UTR	1959	2636093	53890	48.9162
3UTR	1960	2619022	53550	48.908
3UTR	1961	2619407	53550	48.9152
3UTR	1962	2619289	53550	48.913
3UTR	1963	2619990	53550	48.9261
3UTR	1964	2619752	53550	48.9216
3UTR	1965	2621003	53550	48.945
3UTR	1966	2622163	53550	48.9666
3UTR	1967	2622482	53550	48.9726
3UTR	1968	2621835	53550	48.9605
3UTR	1969	2620987	53550	48.9447
3UTR	1970	2621253	53550	48.9496
3UTR	1971	2621798	53550	48.9598
3UTR	1972	2621644	53550	48.9569
3UTR	1973	2620657	53550	48.9385
3UTR	1974	2620047	53550	48.9271
3UTR	1975	2619185	53550	48.911
3UTR	1976	2617751	53550	48.8842
3UTR	1977	2609972	53380	48.8942
3UTR	1978	2610237	53380	48.8992
3UTR	1979	2610380	53380	48.9018
3UTR	1980	2611422	53380	48.9214
3UTR	1981	2602765	53210	48.915
3UTR	1982	2594889	53040	48.9232
3UTR	1983	2594982	53040	48.925
3UTR	1984	2594552	53040	48.9169
3UTR	1985	2594166	53040	48.9096
3UTR	1986	2594431	53040	48.9146
3UTR	1987	2594206	53040	48.9104
3UTR	1988	2594894	53040	48.9233
3UTR	1989	2595823	53040	48.9409
3UTR	1990	2596809	53040	48.9594
3UTR	1991	2596872	53040	48.9606
3UTR	1992	2595888	53040	48.9421
3UTR	1993	2587693	52870	48.9444
3UTR	1994	2578967	52700	48.9368
3UTR	1995	2579314	52700	48.9433
3UTR	1996	2569666	52530	48.9181
3UTR	1997	2570082	52530	48.926
3UTR	1998	2569912	52530	48.9227
3UTR	1999	2569784	52530	48.9203
3UTR	2000	2570332	52530	48.9307
5UTR	1	7201758	193088	37.2978
5UTR	2	6994217	186097	37.5837
5UTR	3	6994822	186097	37.587
5UTR	4	6992577	186097	37.5749
5UTR	5	6987501	186097	37.5476
5UTR	6	6991414	186097	37.5687
5UTR	7	6968043	185572	37.549
5UTR	8	6955858	185397	37.5187
5UTR	9	6955473	185397	37.5166
5UTR	10	6951937	185222	37.533
5UTR	11	6945090	185222	37.496
5UTR	12	6926899	185222	37.3978
5UTR	13	6921098	185222	37.3665
5UTR	14	6902481	185047	37.3012
5UTR	15	6878939	184872	37.2092
5UTR	16	6492969	184697	35.1547
5UTR	17	6490079	184697	35.1391
5UTR	18	6468403	184172	35.1215
5UTR	19	6459334	183997	35.1056
5UTR	20	6447991	183822	35.0774
5UTR	21	6448989	183822	35.0828
5UTR	22	6446208	183822	35.0677
5UTR	23	6434549	183472	35.071
5UTR	24	6422266	182772	35.1381
5UTR	25	6421560	182597	35.1679
5UTR	26	6407178	182247	35.1566
5UTR	27	6407625	182247	35.159
5UTR	28	6399101	182073	35.1458
5UTR	29	6396197	181898	35.1636
5UTR	30	6397425	181898	35.1704
5UTR	31	6375955	181373	35.1538
5UTR	32	6362721	180848	35.1827
5UTR	33	6363139	180848	35.185
5UTR	34	6357934	180673	35.1903
5UTR	35	6350737	180498	35.1845
5UTR	36	6349488	180323	35.2117
5UTR	37	6343389	179973	35.2463
5UTR	38	6336289	179799	35.241
5UTR	39	6331572	179449	35.2834
5UTR	40	6326764	179274	35.291
5UTR	41	6309898	178749	35.3003
5UTR	42	6311562	178574	35.3442
5UTR	43	6300323	177349	35.525
5UTR	44	6294621	177174	35.5279
5UTR	45	6278128	176825	35.5048
5UTR	46	6244665	175951	35.4909
5UTR	47	6241700	175776	35.5094
5UTR	48	6239637	175601	35.533
5UTR	49	6223162	175076	35.5455
5UTR	50	6218719	174901	35.5557
5UTR	51	6207631	174551	35.5634
5UTR	52	6208319	174551	35.5674
5UTR	53	6208782	174551	35.57
5UTR	54	6190144	174026	35.5702
5UTR	55	6188207	172976	35.7749
5UTR	56	6182940	172626	35.817
5UTR	57	6175877	172276	35.8487
5UTR	58	6168775	171927	35.8802
5UTR	59	6144441	171227	35.8848
5UTR	60	6144136	171227	35.883
5UTR	61	6136985	170877	35.9146
5UTR	62	6133046	170527	35.9652
5UTR	63	6122574	170177	35.9777
5UTR	64	6114509	169827	36.0043
5UTR	65	6109091	169652	36.0095
5UTR	66	6101986	169302	36.042
5UTR	67	6102142	169302	36.0429
5UTR	68	6091046	168952	36.0519
5UTR	69	6088868	168777	36.0764
5UTR	70	6088717	168602	36.113
5UTR	71	6075592	168253	36.1099
5UTR	72	6069932	168078	36.1138
5UTR	73	6072549	168078	36.1294
5UTR	74	6062360	167729	36.1438
5UTR	75	6061238	167554	36.1748
5UTR	76	6056464	167379	36.1841
5UTR	77	6049299	166856	36.2546
5UTR	78	6052966	166681	36.3147
5UTR	79	6046880	166331	36.3545
5UTR	80	6045855	166156	36.3866
5UTR	81	6040827	165981	36.3947
5UTR	82	6041729	165981	36.4001
5UTR	83	6023384	165456	36.4047
5UTR	84	6018636	165281	36.4146
5UTR	85	6001523	163531	36.6996
5UTR	86	6001578	163531	36.6999
5UTR	87	5997828	163356	36.7163
5UTR	88	5989403	163006	36.7435
5UTR	89	5988565	162831	36.7778
5UTR	90	5982773	162308	36.8606
5UTR	91	5961063	161783	36.846
5UTR	92	5958213	161609	36.8681
5UTR	93	5954382	161434	36.8843
5UTR	94	5955979	161259	36.9342
5UTR	95	5954417	161259	36.9246
5UTR	96	5941951	160909	36.9274
5UTR	97	5929317	160559	36.9292
5UTR	98	5926256	160559	36.9101
5UTR	99	5918451	160384	36.9018
5UTR	100	5918062	160209	36.9396
5UTR	101	5920297	160209	36.9536
5UTR	102	5922466	160209	36.9671
5UTR	103	5916355	159159	37.1726
5UTR	104	5901726	158810	37.1622
5UTR	105	5897397	158635	37.1759
5UTR	106	5892039	158460	37.1831
5UTR	107	5885456	158285	37.1827
5UTR	108	5880181	158110	37.1904
5UTR	109	5881786	158110	37.2006
5UTR	110	5881593	158110	37.1994
5UTR	111	5872303	157760	37.223
5UTR	112	5874708	157760	37.2383
5UTR	113	5861684	157411	37.2381
5UTR	114	5851780	157062	37.2578
5UTR	115	5850832	157062	37.2517
5UTR	116	5845750	156887	37.2609
5UTR	117	5847066	156887	37.2693
5UTR	118	5843216	156713	37.2861
5UTR	119	5841789	156538	37.3187
5UTR	120	5840212	156538	37.3086
5UTR	121	5839936	156538	37.3068
5UTR	122	5837258	156363	37.3315
5UTR	123	5831129	156188	37.334
5UTR	124	5822976	155838	37.3656
5UTR	125	5803811	155313	37.3685
5UTR	126	5801920	155138	37.3984
5UTR	127	5798797	154963	37.4205
5UTR	128	5792160	154613	37.4623
5UTR	129	5777777	153389	37.6675
5UTR	130	5772534	153214	37.6763
5UTR	131	5753381	152689	37.6804
5UTR	132	5752466	152689	37.6744
5UTR	133	5750318	152514	37.7035
5UTR	134	5739544	152164	37.7195
5UTR	135	5733144	151989	37.7208
5UTR	136	5732549	151989	37.7169
5UTR	137	5722794	151639	37.7396
5UTR	138	5714173	151289	37.7699
5UTR	139	5713569	151115	37.8094
5UTR	140	5700777	149890	38.0331
5UTR	141	5683370	149365	38.0502
5UTR	142	5677532	149190	38.0557
5UTR	143	5655101	148490	38.0841
5UTR	144	5644537	148140	38.1027
5UTR	145	5646885	148140	38.1186
5UTR	146	5641034	147791	38.169
5UTR	147	5625783	147441	38.1562
5UTR	148	5615449	147091	38.1767
5UTR	149	5612547	146916	38.2024
5UTR	150	5607195	146741	38.2115
5UTR	151	5582180	146041	38.2234
5UTR	152	5577536	145866	38.2374
5UTR	153	5572553	145691	38.2491
5UTR	154	5570290	145691	38.2336
5UTR	155	5566760	145516	38.2553
5UTR	156	5561519	145341	38.2653
5UTR	157	5554959	145166	38.2663
5UTR	158	5548741	144991	38.2696
5UTR	159	5545431	144816	38.2929
5UTR	160	5546277	144816	38.2988
5UTR	161	5536102	144467	38.3209
5UTR	162	5536385	144467	38.3228
5UTR	163	5532255	144293	38.3404
5UTR	164	5518075	143943	38.3351
5UTR	165	5515160	143593	38.4083
5UTR	166	5509843	143418	38.4181
5UTR	167	5497686	143068	38.4271
5UTR	168	5496078	143068	38.4158
5UTR	169	5492473	142893	38.4377
5UTR	170	5485673	142544	38.4841
5UTR	171	5479983	142369	38.4914
5UTR	172	5477521	142194	38.5215
5UTR	173	5465281	141844	38.5302
5UTR	174	5458397	141669	38.5292
5UTR	175	5450634	141494	38.522
5UTR	176	5440182	140094	38.8324
5UTR	177	5441208	140094	38.8397
5UTR	178	5429853	139744	38.8557
5UTR	179	5429705	139744	38.8547
5UTR	180	5429161	139744	38.8508
5UTR	181	5424008	139569	38.8626
5UTR	182	5424157	139569	38.8636
5UTR	183	5421779	139394	38.8954
5UTR	184	5420877	139394	38.8889
5UTR	185	5400856	138869	38.8917
5UTR	186	5376856	137994	38.9644
5UTR	187	5377769	137994	38.971
5UTR	188	5367386	137644	38.9947
5UTR	189	5358675	137295	39.0304
5UTR	190	5357065	137295	39.0186
5UTR	191	5348877	136770	39.1086
5UTR	192	5331658	136245	39.1329
5UTR	193	5320561	135721	39.2022
5UTR	194	5316037	135546	39.2194
5UTR	195	5311587	135371	39.2373
5UTR	196	5298949	135021	39.2454
5UTR	197	5298877	135021	39.2448
5UTR	198	5297092	134847	39.2822
5UTR	199	5290956	134672	39.2877
5UTR	200	5264452	133798	39.3463
5UTR	201	5262280	133623	39.3815
5UTR	202	5240213	133098	39.3711
5UTR	203	5239967	133098	39.3692
5UTR	204	5241057	133098	39.3774
5UTR	205	5233576	132573	39.4769
5UTR	206	5229251	132398	39.4965
5UTR	207	5227277	132398	39.4815
5UTR	208	5221764	132223	39.4921
5UTR	209	5216412	132048	39.5039
5UTR	210	5204051	131523	39.5676
5UTR	211	5203946	131523	39.5668
5UTR	212	5203887	131523	39.5664
5UTR	213	5200595	131348	39.594
5UTR	214	5176599	130648	39.6225
5UTR	215	5174791	130474	39.6615
5UTR	216	5175864	130299	39.723
5UTR	217	5167460	130124	39.7118
5UTR	218	5162955	130124	39.6772
5UTR	219	5164015	130124	39.6853
5UTR	220	5155925	129774	39.73
5UTR	221	5156374	129774	39.7335
5UTR	222	5144971	129425	39.7525
5UTR	223	5140698	129250	39.7733
5UTR	224	5142781	129250	39.7894
5UTR	225	5132293	128901	39.8158
5UTR	226	5125629	128726	39.8181
5UTR	227	5124457	128726	39.809
5UTR	228	5124046	128551	39.86
5UTR	229	5109229	128201	39.8533
5UTR	230	5074927	127152	39.9123
5UTR	231	5071791	127152	39.8876
5UTR	232	5070254	127152	39.8755
5UTR	233	5063819	126977	39.8798
5UTR	234	5060603	126977	39.8545
5UTR	235	5049152	126627	39.8742
5UTR	236	5047906	126627	39.8644
5UTR	237	5045658	126627	39.8466
5UTR	238	5045259	126627	39.8435
5UTR	239	5044137	126627	39.8346
5UTR	240	5033848	126452	39.8084
5UTR	241	5024902	125227	40.1263
5UTR	242	5024070	125052	40.1758
5UTR	243	5022269	124877	40.2177
5UTR	244	5019174	124528	40.3056
5UTR	245	5017505	124528	40.2922
5UTR	246	5013481	124353	40.3165
5UTR	247	5005458	124003	40.3656
5UTR	248	4985989	123479	40.3792
5UTR	249	4985334	123479	40.3739
5UTR	250	4980362	123304	40.3909
5UTR	251	4980552	123304	40.3925
5UTR	252	4973980	123129	40.3965
5UTR	253	4972974	123129	40.3883
5UTR	254	4973907	123129	40.3959
5UTR	255	4971123	122954	40.4308
5UTR	256	4965521	122779	40.4428
5UTR	257	4960683	122604	40.461
5UTR	258	4954304	122604	40.409
5UTR	259	4952909	122604	40.3976
5UTR	260	4954726	122604	40.4124
5UTR	261	4954699	122604	40.4122
5UTR	262	4938217	122079	40.451
5UTR	263	4935760	122079	40.4309
5UTR	264	4935244	121905	40.4843
5UTR	265	4933119	121905	40.4669
5UTR	266	4924845	121730	40.4571
5UTR	267	4923261	121730	40.4441
5UTR	268	4924044	121730	40.4505
5UTR	269	4914942	121381	40.4919
5UTR	270	4906902	121206	40.484
5UTR	271	4907898	121206	40.4922
5UTR	272	4888395	120856	40.4481
5UTR	273	4888925	120856	40.4525
5UTR	274	4889976	120856	40.4612
5UTR	275	4879367	120331	40.5495
5UTR	276	4875260	120157	40.5741
5UTR	277	4859421	119632	40.6197
5UTR	278	4857809	119632	40.6063
5UTR	279	4845773	119282	40.6245
5UTR	280	4847860	119282	40.642
5UTR	281	4843234	119107	40.6629
5UTR	282	4843255	119107	40.6631
5UTR	283	4842911	119107	40.6602
5UTR	284	4838197	118932	40.6804
5UTR	285	4838310	118932	40.6813
5UTR	286	4826900	118582	40.7052
5UTR	287	4820920	118407	40.7148
5UTR	288	4817395	118057	40.8057
5UTR	289	4818770	118057	40.8173
5UTR	290	4819586	118057	40.8242
5UTR	291	4811082	117882	40.8127
5UTR	292	4809225	117707	40.8576
5UTR	293	4809202	117707	40.8574
5UTR	294	4812425	117707	40.8848
5UTR	295	4812872	117707	40.8886
5UTR	296	4808186	117532	40.9096
5UTR	297	4802235	117357	40.9199
5UTR	298	4797986	117182	40.9447
5UTR	299	4787176	116833	40.9745
5UTR	300	4788979	116833	40.99
5UTR	301	4782589	116658	40.9967
5UTR	302	4774021	116483	40.9847
5UTR	303	4768561	116308	40.9994
5UTR	304	4768202	116308	40.9963
5UTR	305	4768944	116308	41.0027
5UTR	306	4765641	116133	41.0361
5UTR	307	4758523	115784	41.0983
5UTR	308	4758995	115784	41.1024
5UTR	309	4757265	115784	41.0874
5UTR	310	4759128	115784	41.1035
5UTR	311	4758398	115784	41.0972
5UTR	312	4758356	115784	41.0968
5UTR	313	4754381	115609	41.1247
5UTR	314	4753901	115609	41.1205
